序号,件号,名称,中文材料,英文材料,装配处,页数,图纸,任务分配,发动机类型,,级别,,部件,,零件类型,,,零件图纸号,文件夹名称,页号,版本号,文件名称,产品序号,新编号
132,45.307,O型密封环,GH4145,GB/T28295-2012,,1,A3,孙经雨,涡轴,2,400kW,01,自由涡轮,06,涨圈,017,20106017,006,20106017006,01,01,201060170060101,00001,20106017006010100001
133,45.308,自由涡轮轴后螺母,,,,1,A3,孙经雨,涡轴,2,400kW,01,自由涡轮,06,螺栓,012,20106012,001,20106012001,01,01,201060120010101,00001,20106012001010100001
134,45.309,拉紧螺栓螺母,,,,1,A2,孙经雨,涡轴,2,400kW,01,自由涡轮,06,螺栓,012,20106012,002,20106012002,01,01,201060120020101,00001,20106012002010100001
135,45.310,拉紧螺栓,棒GH4169,Q/6S 1034-1992,,1,A2,孙经雨,涡轴,2,400kW,01,自由涡轮,06,螺栓,012,20106012,003,20106012003,01,01,201060120030101,00001,20106012003010100001
136,45.311,挡油环,棒35Ni4Cr2MoE,Z9-0115-1992,,1,A3,孙经雨,涡轴,2,400kW,01,自由涡轮,06,涨圈,017,20106017,007,20106017007,01,01,201060170070101,00001,20106017007010100001
137,45.312,滑油接管嘴固定连接套（进回）,,,,1,A4,孙经雨,涡轴,2,400kW,01,自由涡轮,06,其他,018,20106018,006,20106018006,01,01,201060180060101,00001,20106018006010100001
138,45.313,进油接管嘴,,,,1,A3,孙经雨,涡轴,2,400kW,01,自由涡轮,06,管路,014,20106014,002,20106014002,01,01,201060140020101,00001,20106014002010100001
139,45.314,回油接管嘴,棒GH2132,GJB2611A-2006,,1,A3,孙经雨,涡轴,2,400kW,01,自由涡轮,06,管路,014,20106014,003,20106014003,01,01,201060140030101,00001,20106014003010100001
140,45.315,滑油接管嘴安装座,棒GH2132,GJB2611A-2006,,1,A3,孙经雨,涡轴,2,400kW,01,自由涡轮,06,其他,018,20106018,007,20106018007,01,01,201060180070101,00001,20106018007010100001
141,45.316,腰形导油套（进回）,棒0Cr18Ni9,GJB 2294-1995/AISI304,,1,A4,孙经雨,涡轴,2,400kW,01,自由涡轮,06,管路,014,20106014,004,20106014004,01,01,201060140040101,00001,20106014004010100001
